
"English;Latin;Français;Español;Portugues;Italiano;TA2ID"
"General terms;Termini generales;Termes généraux;Términos generales;Termos gerais;Termini generali;1"
"Vertical;Verticalis;Vertical;Vertical;Vertical;Verticale;2"
"Horizontal;Horizontalis;Horizontal;Horizontal;Horizontal;Orizzontale;3"
"Median;Medianus;Médian;Mediano;Mediana;Mediano;4"
"Coronal;Coronalis;Coronal;Coronal;Coronal;Coronale;5"
"Sagittal;Sagittalis;Sagittal;Sagital;Sagital;Sagittale;6"
"Right;Dexter;Droite;Derecho;Direito;Destro;7"
"Left;Sinister;Gauche;Izquierdo;Esquerda;Sinistro;8"
"Intermediate;Intermedius;Intermédiaire;Intermedio;Intermediário;Intermedio;9"
"Medial;Medialis;Médial;Medial;Medial;Mediale;10"
"Lateral;Lateralis;Latéral;Lateral;Lateral;Laterale;11"
"Anterior;Anterior;Antérieur;Anterior;Anterior;Anteriore;12"
"Posterior;Posterior;Postérieur;Posterior;Posterior;Posteriore;13"
"Ventral;Ventralis;Ventral;Ventral;Ventral;Ventrale;14"
"Dorsal;Dorsalis;Dorsal;Dorsal;Dorsal;Dorsale;15"
"Frontal;Frontalis;Frontal;Frontal;Frontal;Frontale;16"
"Occipital;Occipitalis;.Occipital;Occipital;Occipital;Occipitale;17"
"Superior;Superior;Supérieur;Superior;Superior;Superiore;18"
"Inferior;Inferior;Inférieur;Inferior;Inferior;Inferiore;19"
"Cranial;Cranialis;Cranial;Craneal;Craniano;Craniale;20"
"Caudal;Caudalis;Caudal;Caudal;Caudal;Caudale;21"
"Rostral;Rostralis;Rostral;Rostral;Rostral;Rostrale;22"
"Apical;Apicalis;Apical;Apical;Apical;Apicale;23"
"Basal;Basalis;Basal;Basal;Basal;Basale;24"
"Middle;Medius;Moyen;Medio;Meio;Medio;25"
"Transverse;Transversus;Transverse;Transverso;Transversal;Trasverso;26"
"Longitudinal;Longitudinalis;Longitudinal;Longitudinal;Longitudinal;Longitudinale;27"
"Axial;Axialis;Axial;Axial;Axial;Assiale;28"
"External;Externus;Externe;Externo;Externo;Esterno;29"
"Internal;Internus;Interne;Interno;Interno;Interno;30"
"Luminal;Luminalis;Luminal;Luminal;Luminal;Luminale;31"
"Superficial;Superficialis;Superficiel;Superficial;Superficial;Superficiale;32"
"Deep;Profundus;Profond;Profundo;Profundo;Profondo;33"
"Proximal;Proximalis;Proximal;Proximal;Proximal;Prossimale;34"
"Distal;Distalis;Distal;Distal;Distal;Distale;35"
"Central;Centralis;Central;Central;Central;Centrale;36"
"Peripheral;Periphericus;Périphérique;Periferico;Periférico;Periferico;37"
"Radial;Radialis;Radial;Radial;Radial;Radiale;38"
"Ulnar;Ulnaris;Ulnaire;Ulnar;Ulnar;Ulnare;39"
"Fibular;Fibularis;Fibulaire;Fibular;Fibular;Fibulare;40"
"Tibial;Tibialis;Tibial;Tibial;Tibial;Tibiale;41"
"Palmar;Palmaris;Palmaire;Palmar;Palmar;Palmare;42"
"Plantar;Plantaris;Plantaire;Plantar;Plantar;Plantare;43"
"Flexor;Flexorius;Fléchisseur;Flexor;Flexor;Flessore;44"
"Extensor;Extensorius;Extenseur;Extensor;Extensor;Estensore;45"
"Reference planes;Plana referentiae;Plans de référence;Planos de referencia;Planos de referência;Piani di riferimento;46"
"Longitudinal planes;Plana longitudinalia;Coupes longitudinales;Planos longitudinales;Planos longitudinais;Piani longitudinali;47"
"Coronal planes;Plana coronalia;Coupes frontales;Planos coronales;Planos coronais;Piani coronali;48"
"Sagittal planes;Plana sagittalia;Coupes sagittales;Planos sagitales;Planos sagitais;Piani sagittali;49"
"Median plane;Planum medianum;Plan médian;Plano mediano;Plano mediano;Piano mediano;50"
"Paramedian plane;Planum paramedianum;Plan paramédian;Plano paramediano;Plano paramediano;Piano paramediano;51"
