"Obj","Labl","Def","NAVID;English","TA2ID","English","Synonyms","Latin","Synonyms","Fran?ais","Synonyms","Espa?ol","Sin?nimos","Portugues","Sin?nimos","Italiano","Polski","Parsi","Deutsch","T?rk?e","Hindi","??"
"","x","","32;General terms","1","General terms","","Termini generales","","Termes g?n?raux","","T?rminos generales","","Termos gerais","","Termini generali","","???? ??? ??????","","Genel terimler","??????? ???? ",""
"","","x","","2","Vertical","","Verticalis","","Vertical","","Vertical","","Vertical","","Verticale","Pionowy","????-?????","Vertikal","Dikey","????","???"
"","","x","","3","Horizontal","","Horizontalis","","Horizontal","","Horizontal","","Horizontal","","Orizzontale","Poziomy","????","Horizontal","Yatay","???????","???"
"","","x","1;Median","4","Median","","Medianus","","M?dian","","Mediano","","Mediana","","Mediano","Po?rodkowy","?????","Median","Orta hatta bulunan","?????? ","???"
"","","x","163;Frontal","5","Coronal","%Frontal","Coronalis","","Coronal","%Frontal","Coronal","","Coronal","","Coronale","Wie?cowy","??????","Koronar","Koronal","??????","??"
"","","","2;Sagittal","6","Sagittal","","Sagittalis","","Sagittal","","Sagital","","Sagital","","Sagittale","Strza?kowy (sagittalis)","????","Sagittal","Sagital","????????, ???????????????","??"
"","","x","19;Right","7","Right","","Dexter","","Droite","","Derecho","","Direito","","Destro","Prawy","????","Rechts","Sa?","??????","?"
"","","x","20;Left","8","Left","","Sinister","","Gauche","","Izquierdo","","Esquerda","","Sinistro","Lewy","??","Links","Sol","????","?"
"","","x","5;Intermediate","9","Intermediate","%Middle","Intermedius","","Interm?diaire","%Moyen","Intermedio","","Intermedi?rio","","Intermedio","Po?redni","???????","Dazwischenliegend","Arada olan","???????????","???"
"","","x","4;Medial","10","Medial","","Medialis","","M?dial","","Medial","","Medial","","Mediale","?rodkowy","?????","Medial","Orta","???????","??"
"","","x","6;Lateral","11","Lateral","","Lateralis","","Lat?ral","","Lateral","","Lateral","","Laterale","Boczny","??????","Seitlich","D?? yan","?????","??"
"","","x","10;Anterior","12","Anterior","%Ventral","Anterior","","Ant?rieur","%Ventral","Anterior","","Anterior","","Anteriore","Przedni","???- ????","Anterior","?n","???????? ","??"
"","","x","12;Posterior","13","Posterior","%Dorsal","Posterior","","Post?rieur","%Dorsal","Posterior","","Posterior","","Posteriore","Tylny","???? -???.","Hintere","Arka","??????????","??"
"x","","x","14;Ventral","14","Ventral","","Ventralis","","Ventral","","Ventral","","Ventral","","Ventrale","Brzuszny","????","Ventral","?n, ?nde; kar?na ait","????????","??"
"x","","x","13;Dorsal","15","Dorsal","","Dorsalis","","Dorsal","","Dorsal","","Dorsal","","Dorsale","Grzbietowy","???? -???","Dorsal","S?rt","????????","??"
"x","","x","163;Frontal","16","Frontal","","Frontalis","","Frontal","","Frontal","","Frontal","","Frontale","Czo?owy","??????@","Frontal","Al?n ile ilgili","????, ????","??"
"x","","x","244;Occipital","17","Occipital","","Occipitalis","",".","","Occipital","","Occipital","","Occipitale","Potyliczny","?? ??-?? ???","Hinterhaupts","Ba??n arkas? ile ilgili","?????????????? ","??"
"","","x","7;Cranial","18","Superior","%Cranial","Superior","","Sup?rieur","%Cranial","Superior","","Superior","","Superiore","G?rny","???? -???","Vorgesetzter","?st","??????","??"
"","","","9;Caudal","19","Inferior","%Caudal","Inferior","","Inf?rieur","%Caudal","Inferior","","Inferior","","Inferiore","Dolny","????? -???","Unterlegen","Alt","?????, ???","??"
"x","","x","7;Cranial","20","Cranial","","Cranialis","","Cranial","","Craneal","","Craniano","","Craniale","Czaszkowy","???.","Kranial","Ba? taraf?nda","????-??????, ?????-??????","??"
"x","","x","9;Caudal","21","Caudal","","Caudalis","","Caudal","","Caudal","","Caudal","","Caudale","Ogonowy","???.","Kaudal","Kuyruk","???? ????, ???? ?? ????? ??????","??"
"","","x","10;Anterior","22","Rostral","%Anterior","Rostralis","","Rostral","%Ant?rieur","Rostral","","Rostral","","Rostrale","Dziobowy","???- ????","Rostral","Gaga ?eklinde","???? ","??"
"","","x","58;Apical","23","Apical","","Apicalis","","Apical","","Apical","","Apical","","Apicale","Szczytowy","????","Apikal","Tepede olan "," ????????, ???????","??"
"","","x","72;Basal","24","Basal","","Basalis","","Basal","","Basal","","Basal","","Basale","Podstawny","????","Basal","Tabanda olan","?????? ","??"
"","","x","8;Middle","25","Middle","","Medius","","Moyen","","Medio","","Meio","","Medio","?rodek","?????","Mitte","Orta","????","??"
"","","x","22;Transverse","26","Transverse","","Transversus","","Transverse","","Transverso","","Transversal","","Trasverso","Poprzeczny","????.","Quer","Enine","???????????","?"
"","","x","21;Longitudinal","27","Longitudinal","","Longitudinalis","","Longitudinal","","Longitudinal","","Longitudinal","","Longitudinale","Pod?u?ny","????-?????.","L?ngs","Boyuna","??????????","?"
"","","x","28;Axial","28","Axial","","Axialis","","Axial","","Axial","","Axial","","Assiale","Osiowy","??? ??","Axial","Aksiyel","??????","??"
"","","x","6;Lateral","29","External","%Lateral","Externus","","Externe","%Lat?ral","Externo","","Externo","","Esterno","Zewn?trzny","??????.","Extern","Harici","?????","??"
"","","x","4;Medial","30","Internal","%Medial","Internus","","Interne","%M?dial","Interno","","Interno","","Interno","Wewn?trzny","?????.","Intern","Dahili","????????","??"
"","","x","","31","Luminal","","Luminalis","","Luminal","","Luminal","","Luminal","","Luminale","Luminalny","???????-????","Luminal","","????, ????","??"
"","","x","23;Superficial","32","Superficial","","Superficialis","","Superficiel","","Superficial","","Superficial","","Superficiale","Powierzchowny","?????????? ??","Oberfl?chlich","Y?zeysel","????","???"
"","","x","24;Deep","33","Deep","","Profundus","","Profond","","Profundo","","Profundo","","Profondo","G??boki","????- ???","Tief","Derin","???? ","??"
"x","","x","26;Proximal","34","Proximal","","Proximalis","","Proximal","","Proximal","","Proximal","","Prossimale","Proksymalny, bli?szy","?????.","Proximal","Yak?ndaki","???????, ???????","??"
"x","","x","27;Distal","35","Distal","","Distalis","","Distal","","Distal","","Distal","","Distale","Dystalny","???.","Distal","Merkezden uzak","??????","??"
"","","x","96;Central","36","Central","","Centralis","","Central","","Central","","Central","","Centrale","Centralny","????","Zentral","Merkezi","????????, ????? ","??"
"","","x","","37","Peripheral","","Periphericus","","P?riph?rique","","Periferico","","Perif?rico","","Periferico","Obwodowy","????????","Peripherie","?evresel, d?? y?zeye yak?n olan","??????, ??????????","???"
"x","","x","289;Radial","38","Radial","","Radialis","","Radial","","Radial","","Radial","","Radiale","Promieniowy","??? ??????","Radial","Radius ile ilgili","??????, ???- ???????????","??"
"x","","x","368;Ulnar","39","Ulnar","","Ulnaris","","Ulnaire","","Ulnar","","Ulnar","","Ulnare","?okciowy","??? ????? @","Ulnar","Ulna ile ilgili","???? ????????????","??"
"x","","x","154;Fibular","40","Fibular","%Peroneal","Fibularis","%Peroneus","Fibulaire","%P?ronier","Fibular","%Peroneo","Fibular","%Peroneo","Fibulare","Strza?kowy","???? ??@","Fibula","Fibula ile ilgili","????????????, ??????????? ","??"
"x","","x","356;Tibial","41","Tibial","","Tibialis","","Tibial","","Tibial","","Tibial","","Tibiale","Piszczelowy","???? ??@","Tibia","Tibia ile ilgili","???????????","??"
"x","","x","30;Palmar","42","Palmar","","Palmaris","","Palmaire","","Palmar","","Palmar","","Palmare","D?oniowy","?? ????","Palmar","El ayas?na ait"," ????, ????? ??","??"
"x","","x","31;Plantar","43","Plantar","","Plantaris","","Plantaire","","Plantar","","Plantar","","Plantare","Podeszwowy","?? ????","Plantar","Ayak taban? ile ilgili","?????","??"
"","","x","158;Flexor","44","Flexor","","Flexorius","","Fl?chisseur","","Flexor","","Flexor","","Flessore","Zginacz","?? ?????","Beuger","B?k?c?","????????","??"
"","","x","149;Extensor","45","Extensor","","Extensorius","","Extenseur","","Extensor","","Extensor","","Estensore","Prostownik","??? ?????","Strecker","Geren, uzatan","???????","??"
